idmeditable,nameMedi,useMedi,introMedi,warnMedi,takeMedi,sideEffectMedi,ifMissMedi
84,Bethanechol,"used to treat urinary retention (trouble urinating) that may be caused by surgery, delivering a baby, or other conditions.","Bethanechol may be used for purposes not listed in this medication guide. Bethanechol chloride acts principally by producing the effects of stimulation of the parasympathetic nervous system. It increases the tone of the detrusor urinae muscle, usually producing a contraction sufficiently strong to initiate micturition and empty the bladder.","Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use.","Make bethanechol on an empty stomach, at least 1 hour before or 2 hours after a meal. It may take up to 90 minutes before your symptoms improve. The effects of bethanechol usually last for about 1 hour. Call your doctor if your symptoms do not improve within 90 minutes after taking bethanechol. Store at room temperature away from moisture and heat.","signs of an allergic reaction: hives; difficult breathing; swelling of your face, lips, tongue, or throat, slow heartbeats, a light-headed feeling, like you might pass out or wheezing, chest tightness, trouble breathing.","Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time."
85,Bicalutamide,"used to treat prostate cancer that has spread to other parts of the body (metastatic).","Bicalutamide is a prescription medicine belonging to a class of medicines called non-steroidal androgen receptor inhibitors. Bicalutamide is used to treat prostate cancer that has spread to other parts of the body (metastatic). Bicalutamide is given in combination with another medicine called a luteinizing (LOO-tee-in-ize-ing) hormone-releasing hormone, or LHRH. LHRH helps prevent the testicles from producing testosterone","Bicalutamide can harm an unborn baby if you father a child while using this medicine. Use effective birth control to prevent pregnancy while using bicalutamide and for at least 130 days (about 19 weeks) after your last dose.","Bicalutamide is usually taken once per day in the morning or evening. Take the medicine at the same time each day, with or without food. LHRH is given as an injection or a tiny implant injected through a needle under the skin around your navel. LHRH injections are given at intervals such as once every 4 weeks. Follow your doctor's instructions.","signs of an allergic reaction to bicalutamide: hives; difficult breathing; swelling of your face, lips, tongue, or throat, breast pain or swelling, sudden chest pain, wheezing, dry cough, feeling short of breath, pale skin, unusual tiredness, feeling light-headed or short of breath, cold hands and feet,  nausea, upper stomach pain","Skip the missed dose and use your next dose at the regular time. Do not use two doses at one time. Call your doctor for instructions if you miss an appointment for your LHRH injection"
86,Biktarvy,"used to treat HIV, the virus that can cause acquired immunodeficiency syndrome (AIDS).","Biktarvy contains a combination of bictegravir, emtricitabine, and tenofovir. Bictegravir, emtricitabine, and tenofovir are antiviral medicines that prevent human immunodeficiency virus (HIV) from multiplying in your body. Biktarvy is for use in adults and children who weigh at least 31 pounds (14 kilograms). Biktarvy is not a cure for HIV or AIDS.","Too much lactic acid can lead to death. Tell your healthcare provider right away if you get these symptoms: weakness or being more tired than usual, unusual muscle pain, being short of breath or fast breathing, stomach pain with nausea and vomiting, cold or blue hands and feet, feel dizzy or lightheaded, or a fast or abnormal heartbeat.","Biktarvy is a complete regimen and is not for use with other antiviral medications. You may take Biktarvy with or without food. If you take a multivitamin or mineral supplement that contains iron or calcium, take it with food at the same time you take Biktarvy. For children unable to swallow a whole tablet, the tablet can be split.","little or no urination, swelling in your feet or ankles, feeling tired or short of breath, muscle pain or weakness, numbness or cold feeling, trouble breathing, stomach pain, , dizziness, or feeling very weak or tired or swelling around your midsection, upper stomach pain, unusual tiredness, loss of appetite, dark urine, clay-colored stools, jaundice","Use the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not use two doses at one time. Get your prescription refilled before you run out of medicine completely."
87,Biotin,"used in alternative medicine as a likely effective aid in treating or preventing biotin deficiency.","Biotin is a form of vitamin B found in foods. Biotin helps the body break down fats, carbohydrates, and proteins. Biotin deficiency can be caused by malnutrition, rapid weight loss, long-term tube feeding, and other medical conditions. Biotin has also been used to treat seborrhea (skin rash) in babies. However, research has shown that biotin may not be effective in treating this condition. Biotin is often sold as an herbal supplement. ","Follow all directions on the product label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use.","If you choose to use biotin, use it as directed on the package or as directed by your doctor. Do not use more of this product than is recommended on the label. Measure liquid medicine carefully. Use the dosing syringe provided, or use a medicine dose-measuring device (not a kitchen spoon). It may take 3 to 6 months before the condition of your hair or nails improves.","signs of an allergic reaction: hives; difficult breathing; swelling of your face, lips, tongue, or throat. Common side effects may include upset stomach or diarrhea.","Skip the missed dose if it is almost time for your next scheduled dose. Do not use extra biotin to make up the missed dose."
88,"Bismuth subsalicylate","used to treat diarrhea, nausea, heartburn, indigestion, gas, or upset stomach.","Bismuth subsalicylate, sold as generic and under the brand name Pepto-Bismol and BisBacter, is an antacid elixir medication used to treat temporary discomforts of the stomach and gastrointestinal tract, such as nausea, heartburn, indigestion, upset stomach, and diarrhea.","You should not use bismuth subsalicylate if you have bleeding problems, a stomach ulcer, blood in your stools, or if you are allergic to aspirin or other salicylates. Do not give this medicine to a child or teenager with a fever, flu symptoms, or chickenpox.","Shake the oral suspension (liquid) before you measure a dose. Use the dosing syringe provided, or use a medicine dose-measuring device (not a kitchen spoon). You must chew the chewable tablet before you swallow it. Drink plenty of liquids while you are taking bismuth subsalicylate. Do not take more than 8 doses in one day (24 hours).","signs of an allergic reaction: hives; difficulty breathing; swelling of your face, lips, tongue, or throat, changes in behavior with nausea and vomiting, hearing loss or ringing in your ears, diarrhea lasting longer than 2 days or worsened stomach symptoms.","Since bismuth subsalicylate is used when needed, you may not be on a dosing schedule. Skip any missed dose if it's almost time for your next dose. Do not use two doses at one time. Do not take more than 8 doses per day."
89,Bisoprolol,"used to treat hypertension (high blood pressure)","Bisoprolol, marketed under the tradename Concor among others, is a beta blocker medication most commonly used for heart diseases. This specifically includes high blood pressure, chest pain from not enough blood flow to the heart, and heart failure. It is taken by mouth.","Do not skip doses or stop taking bisoprolol without first talking to your doctor. Stopping suddenly may make your condition worse or cause other serious heart problems. You should not use bisoprolol if you have a serious heart condition such as "AV block," severe heart failure, or slow heartbeats that have caused you to faint.","Take bisoprolol exactly as it was prescribed for you. Follow all directions on your prescription label. Your doctor may occasionally change your dose to make sure you get the best results. Do not use this medicine in larger or smaller amounts or for longer than recommended.","shortness of breath (even with mild exertion), swelling, rapid weight gain, slow heart rate, pounding heartbeats or fluttering in your chest, numbness, tingling, or cold feeling in your hands or feet, a light-headed feeling, like you might pass out, eye pain, vision problems or bronchospasm (wheezing, chest tightness, trouble breathing).","Take the missed dose as soon as you remember. Skip the missed dose if it is almost time for your next scheduled dose. Do not take extra medicine to make up the missed dose."
90,Blincyto,"used to treat a certain type of acute lymphoblastic leukemia in adults and children.","Blincyto is given after other cancer treatments have been tried without success. Blincyto was approved by the US Food and Drug Administration (FDA) on an "accelerated" basis. In clinical studies, some people responded to this medicine, but further studies are needed. Acute lymphoblastic leukemia is a cancer of the blood in which a particular kind of white blood cell is growing out of control.","Some side effects may occur during the Blincyto injection. Tell your caregiver right away if you feel dizzy, nauseated, light-headed, chilled or feverish, or if you have a headache, skin rash, trouble breathing, or swelling in your face.","When it is time to change IV bags, call your doctor or pharmacist if you do not have a new IV bag ready to attach to the infusion pump. Be sure to keep the skin clean around your catheter (IV) to reduce the risk of infection. Keep the IV bags in their original package and do not open the package. Store it in the refrigerator, protected from light. Do not freeze.","nauseated, light-headed, tired, chilled or feverish, or you have a headache, muscle pain, skin rash, wheezing, trouble breathing, or swelling in your face, hives; difficult breathing; swelling of your face, lips, tongue, or throat, slurred speech, confusion, problems with balance, a seizure (convulsions) or loss of consciousness.","Since dosing and infusion pump programming is administered by a healthcare professional, you are not likely to miss a dose. Call your pharmacist for new medicine if you do not receive your IV bags on time."
91,Boniva,"used to prevent and treat certain types of bone loss (osteoporosis).","Boniva (ibandronate) is a bisphosphonate medicine that alters bone formation and breakdown in the body. This can slow bone loss and may help prevent bone fractures. Boniva is prescription medicine used to treat or prevent osteoporosis in women after menopause. Ibandronate helps increase bone mass and helps reduce the chance of having a spinal fracture.","You should not use Boniva if you have severe kidney disease or low levels of calcium in your blood. Do not take a tablet if you have problems with your esophagus, or if you cannot sit upright or stand for at least 60 minutes after taking the tablet.","Boniva tablets are taken once per month. The injection is given into a vein through an IV once every 3 months. The tablets can be taken at home, but a healthcare provider must give the injection. Take the tablet first thing in the morning, at least 60 minutes before you eat or drink anything or take any other medicine.","chest pain, new or worsening heartburn, difficulty or pain when swallowing, pain or burning under the ribs or in the back, severe heartburn, burning pain in your upper stomach, or coughing up blood, new or unusual pain in your thigh or hip, jaw pain, numbness, or swelling, severe joint, bone, or muscle pain","If you forget to take a tablet first thing in the morning on your scheduled day, do not take it later in the day. Wait until the next morning to take the missed dose. Then return to your regular monthly schedule on your chosen dose day."
92,Botox," used in adults to treat cervical dystonia (abnormal head position and neck pain).","Botox is also used to treat muscle stiffness (spasticity) of the arms, hands, legs, and feet in adults and children who are at least 2 years old. Botox is used to treat certain eye muscle conditions caused by nerve disorders in adults and children who are at least 12 years old. This includes uncontrolled blinking or spasm of the eyelids, and a condition in which the eyes do not point in the same direction (strabismus).","You should not use Botox if you have an infection in the area where the medicine will be injected. This medicine should not be used to treat overactive bladder or incontinence if you have a current bladder infection or if you are unable to urinate (unless you routinely use a catheter).","This medicine is injected into a muscle by a healthcare provider. Botox injections should be spaced at least 3 months apart. Botox injections may be given into more than one area at a time, depending on the condition being treated. While receiving injections for eye muscle conditions, you may need to use eye drops, ointment, a special contact lens.","signs of an allergic reaction to Botox: hives, itching; wheezing, difficult breathing; feeling like you might pass out; swelling of your face, lips, tongue, or throat, unusual or severe muscle weakness (especially in a body area that was not injected with the medication), loss of bladder control, hoarse voice, trouble talking or swallowing, drooping eyelids or eyebrows","Since botulinum toxin has a temporary effect and is given at widely spaced intervals, missing a dose is not likely to be harmful."
93,"Breo Ellipta","used in adults with asthma or COPD (chronic obstructive pulmonary disease), to improve symptoms and prevent bronchospasm or asthma attacks.","Breo Ellipta inhalation powder contains a combination of fluticasone and vilanterol. Fluticasone is a steroid that prevents the release of substances in the body that cause inflammation. Vilanterol is a bronchodilator that works by relaxing muscles in the airways to improve breathing.  Breo Ellipta is for long-term treatment. In people with asthma, this medicine is for short-term treatment until symptoms are well-controlled with with other medicines.","Breo Ellipta is not a rescue medicine. It will not work fast enough to treat an asthma or bronchospasm attack. Tell your healthcare provider about all the medicines you take, including prescription and over-the-counter medicines, vitamins, and herbal supplements. Breo Ellipta may interact with other medicines and this may cause serious side effects.","Use the medicine at the same time each day, and not more than once in a 24-hour period. Your dose needs may change due to surgery, illness, stress, or a recent asthma attack. Do not change your Breo Ellipta dose or dosage schedule without your doctor's advice. Always rinse out your mouth with water after using the inhaler device, to help prevent thrush.","wheezing, choking, or other breathing problems after using this medicine, chest pain, fast or pounding heartbeats, pounding in your neck or ears, sores or white patches in your mouth and throat, pain when swallowing, fever, chills, cough with yellow or green mucus, blurred vision, tunnel vision, eye pain, or seeing halos around lights","Use the missed dose as soon as you remember. Skip the missed dose if it is almost time for your next scheduled dose. Do not use extra medicine to make up the missed dose."
94,Brilinta,"used to lower your risk of heart attack, stroke, or death due to a blocked artery or a prior heart attack.","Brilinta (ticagrelor) prevents platelets in your blood from sticking together to form an unwanted blood clot that could block an artery. Brilinta is also used to lower your risk of blood clots if you have coronary artery disease (decreased blood flow to the heart) and have been treated with stents to open clogged arteries. Brilinta is also used to lower your risk of a first heart attack or stroke.","You should not use Brilinta if you have any active bleeding (including a bleeding stomach ulcer), or a history of bleeding in the brain. Do not use this medicine just before heart bypass surgery (coronary artery bypass graft, or CABG). Do not stop taking Brilinta without first talking to your doctor, even if you have signs of bleeding. ","Take this medicine at the same time each day, with or without food. If you cannot swallow a tablet whole, crush the pill and mix it with water. Stir and drink this mixture right away. Add more water to the glass, stir, and drink right away.","chest pain, fainting or dizzy spells, nosebleeds, or any bleeding that will not stop, shortness of breath even with mild exertion or while lying down, easy bruising, unusual bleeding, purple or red spots under your skin, red, pink, or brown urine, black, bloody, or tarry stools","Skip the missed dose and use your next dose at the regular time. Do not use two doses at one time."
95,Briviact,"used to treat partial onset seizures in people with epilepsy.","Brivaracetam, sold under the brand name Briviact and Brivazen among others, a chemical analog of levetiracetam, is a racetam derivative with anticonvulsant properties. It is marketed by the pharmaceutical company UCB. In India it is co-promoted and distributed by Dr. Reddy's Laboratories.","Some people have thoughts about suicide while taking seizure medicine. Stay alert to changes in your mood or symptoms. Report any new or worsening symptoms to your doctor.","Take Briviact oral with a full glass of water, with or without food. Swallow the tablet whole and do not crush, chew, or break it. Measure liquid medicine carefully. Use the dosing syringe provided, or use a medicine dose-measuring device (not a kitchen spoon).","hives; difficult breathing; swelling of your face, lips, tongue, or throat, mood or behavior changes, anxiety, panic attacks, trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), depressed, or have thoughts about suicide or hurting yourself.","Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time."
96,Bromocriptine,"used to treat certain conditions caused by a hormone imbalance in which there is too much prolactin in the blood (hyperprolactinemia). ","Parlodel is sometimes used together with surgery or radiation in treating acromegaly, a condition caused by a pituitary gland tumor that produces too much growth hormone. Parlodel is also used to treat these disorders when they are caused by a noncancerous tumor of the pituitary gland that can overproduce prolactin.","You should not use Parlodel if you have uncontrolled high blood pressure, if you have high blood pressure caused by pregnancy (eclampsia or preeclampsia), or if you recently had a baby and you have a history of coronary artery disease or severe heart disease. You may need to stop taking Parlodel if you become pregnant during treatment. Follow your doctor's instructions.","Take Parlodel with food, even if you take it at bedtime. You will need frequent medical tests. You should not stop using Parlodel suddenly. Follow your doctor's instructions about tapering your dose. Store at room temperature away from moisture, heat, and light. Keep the bottle tightly closed when not in use.","vision problems, constant runny nose, chest pain, pain when you breathe, fast heart rate, rapid breathing, feeling short of breath (especially when lying down), back pain, swelling in your ankles or feet, urinating less than usual or not at all, confusion, hallucinations, feeling like you might pass out","Take the medicine with food as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time."
97,Brukinsa,"used to treat mantle cell lymphoma in adults","Brukinsa (zanubrutinib) is used to treat mantle cell lymphoma in adults who have received at least one prior treatment for this condition. Brukinsa was approved by the US Food and Drug Administration (FDA) on an "accelerated" basis. In clinical studies, some people responded to this medicine, but further studies are needed. It is not known if Brukinsa is safe and effective in children.","Ask your doctor about this risk and what skin symptoms to watch for. Wear protective clothing and use sunscreen (SPF 30 or higher) when you are outdoors. Tell your doctor if you have ever had liver disease. You may need to have a negative pregnancy test before you start using Brukinsa.","Take this medicine with a full glass of water. You may take Brukinsa with or without food. Swallow the capsule whole and do not crush, chew, break, or open it. Store at room temperature away from moisture and heat.","signs of an allergic reaction to Brukinsa: hives; difficult breathing; swelling of your face, lips, tongue, or throat, pounding heartbeats or fluttering in your chest, chest discomfort, a light-headed feeling, like you might pass out, liver problems, low platelets in your blood , low red blood cells, low white blood cell counts","Take the missed dose on the same day you remember it. Take your next dose at the regular time and stay on your once-daily schedule. Do not use 2 doses in one day."
98,Bryhali,"used to treat inflammation and itching caused by plaque psoriasis or skin conditions that respond to steroid medication.","This medication is used to treat a variety of skin conditions (such as eczema, dermatitis, psoriasis, rash). Halobetasol reduces the swelling, itching, and redness that can occur in these types of conditions. This medication is a very strong (super-high potency) corticosteroid.","Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use.","Do not take by mouth. Topical medicine is for use only on the skin. Do not use on open wounds or on sunburned, windburned, dry, or irritated skin. Rinse with water if this medicine gets in your eyes or mouth. Wash your hands before and after using halobetasol, unless you are using this medicine to treat the skin on your hands. Shake the foam before each use.","worsening of your skin condition, redness, warmth, swelling, oozing, or severe irritation of any treated skin, blurred vision, tunnel vision, eye pain, or seeing halos around lights, high blood sugar--increased thirst, increased urination, dry mouth, fruity breath odor","Apply the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not apply two doses at one time."
99,Budesonide,"Used to reduces inflammation in the body.","Budesonide is a steroid that reduces inflammation in the body. Entocort and Ortikos are used to treat mild to moderate Crohn's disease in adults and children at least 8 years old. These medicines are also used in adults to keep symptoms from returning for up to 3 months. Uceris is used to treat mild to moderate ulcerative colitis (UC) in adults.","Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use.","Take this medicine in the morning with a full glass of water. Swallow the tablet or capsule whole and do not crush, chew, break, or open it. If you cannot swallow a capsule whole, open it and sprinkle the medicine into a spoonful of applesauce. Swallow the mixture right away, or within 30 minutes after mixing. Then drink a full glass of water.","thinning skin, easy bruising, increased acne or facial hair, swelling in your ankles, weakness, tiredness, or a light-headed feeling, like you might pass out, nausea, vomiting, rectal bleeding, pain or burning when you urinate, menstrual problems (in women), impotence or loss of interest in sex (in men)","Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time."
100,Bunavail,"used to treat opioid addiction.","Bunavail buccal films contains a combination of buprenorphine and naloxone. Buprenorphine is an opioid medication, sometimes called a narcotic. Naloxone blocks the effects of opioid medication, including pain relief or feelings of well-being that can lead to opioid abuse. Bunavail buccal films are used to treat opioid addiction.","Using Bunavail during pregnancy may cause life-threatening withdrawal symptoms in the newborn. Fatal side effects can occur if you use Bunavail with alcohol, or with other drugs that cause drowsiness or slow your breathing.","Never crush or break a Bunavail pill to inhale the powder or mix it into a liquid to inject the drug into your vein. This practice has resulted in death. Store Bunavail films in the foil pouch at room temperature, away from moisture and heat. Discard an empty pouch in a place children and pets cannot get to.","signs of an allergic reaction to Bunavail: hives; difficult breathing; swelling of your face, lips, tongue, or throat. Opioid medicine can slow or stop your breathing, and death may occur and you may have you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up.","Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time."
101,Bupivacaine,"used as a local (in only one area) anesthetic.","Bupivacaine is given as an epidural injection into the spinal column to produce numbness during labor, surgery, or certain medical procedures. Bupivacaine is also used as an anesthetic for dental procedures.","Some epidural numbing medications can have long-lasting or permanent effects on certain body processes such as sexual function, bowel or bladder control, and movement or feeling in your legs or feet. Talk with your doctor about your specific risk of nerve damage from bupivacaine.","For an epidural, bupivacaine is given as an injection through a needle placed into an area of your middle or lower back near your spine. Your breathing, blood pressure, oxygen levels, or other vital signs will be watched closely. For a dental procedure, bupivacaine is injected directly into the mouth near the tooth or teeth your dentist will be working on.","feeling anxious, restless, confused, dizzy, drowsy, or like you might pass out, ringing in your ears, problems with speech or vision, metallic taste in your mouth, numbness or tingling around your mouth, muscle twitching, tremors, seizure (convulsions), weak or shallow breathing, fast heart rate, gasping, feeling unusually hot","Since bupivacaine is given as needed before a surgery or dental procedure, you are not likely to be on a dosing schedule."
102,Buprenex,"used to treat pain. An opioid is sometimes called a narcotic.","Buprenex Injection is used to relieve moderate pain that is severe enough to require an opiate pain killer and for which other medicines (e.g., non-opiate pain killers or opiate-containing combination medicines) have not been, or are not expected to be sufficient. This medication guide provides information about the Buprenex brand of buprenorphine injection.","Using Buprenex during pregnancy may cause life-threatening withdrawal symptoms in the newborn. Fatal side effects can occur if you use opioid medicine with alcohol, or with other drugs that cause drowsiness or slow your breathing.","Buprenex is usually given at evenly spaced intervals, up to 6 hours apart. Tell your doctor if Buprenex does not relieve your pain within 1 hour after an injection. Buprenex can cause irritation if it gets on your skin. If this occurs, remove any clothing the medicine has spilled onto, and rinse your skin with water.","signs of an allergic reaction to Buprenex: hives; difficult breathing; swelling of your face, lips, tongue, or throat, Opioid medicine can slow or stop your breathing, and death may occur. A person caring for you should seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up.","Because you will receive Buprenex in a clinical setting, you are not likely to miss a dose."
103,Buprenorphine,"Used to as an opioid medication.","Buprenorphine sublingual tablets (given under the tongue) are a prescription medicine used to treat opioid addiction (either prescription or illegal drugs), as part of a complete treatment program that also includes counseling and behavioral therapy. Buprenorphine sublingual tablets are most often used for the first 1 or 2 days to help you start with treatment.","Taking buprenorphine during pregnancy may cause life-threatening withdrawal symptoms in the newborn. Fatal side effects can occur if you use buprenorphine with alcohol, or with other drugs that cause drowsiness or slow your breathing.","Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time.","signs of an allergic reaction to buprenorphine: hives; difficult breathing; swelling of your face, lips, tongue, or throat. Opioid medicine can slow or stop your breathing, and death may occur. A person caring for you should seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up.","Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time."
104,"Buprenorphine and naloxone","Used to Buprenorphine and naloxone is a combination medicine used to treat opioid addiction. Buprenorphine and naloxone is not for use as a pain medication.","Buprenorphine and naloxone is a combination medicine used to treat opioid addiction. Buprenorphine and naloxone is not for use as a pain medication.","Taking buprenorphine and naloxone during pregnancy may cause life-threatening withdrawal symptoms in the newborn. Fatal side effects can occur if you use this medicine with alcohol, or with other drugs that cause drowsiness or slow your breathing.","Never crush or break a buprenorphine and naloxone pill to inhale the powder or mix it into a liquid to inject the drug into your vein. This practice has resulted in death. Store this medicine in the foil pouch at room temperature, away from moisture and heat. Discard an empty pouch in a place children and pets cannot get to."," hives; difficult breathing; swelling of your face, lips, tongue, or throat. Opioid medicine can slow or stop your breathing, and death may occur. A person caring for you should seek emergency medical attention if you have slow breathing with long pauses, blue colored lips, or if you are hard to wake up.","Take the medicine as soon as you can, but skip the missed dose if it is almost time for your next dose. Do not take two doses at one time."
105,Bupropion,"used to help people stop smoking by reducing cravings","You should not take bupropion if you have seizures or an eating disorder, or if you have suddenly stopped using alcohol, seizure medication, or sedatives. Do not use bupropion within 14 days before or 14 days after you have used a MAO inhibitor, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine.","Some people taking bupropion (Wellbutrin or Zyban) have had high blood pressure that is severe, especially when also using a nicotine replacement product (patch or gum). Your blood pressure may need to be checked before and during treatment with bupropion. You may have nicotine withdrawal symptoms when you stop smoking, including: increased appetite.","Do not crush, chew, or break an extended-release tablet. Swallow the tablet whole. You should not change your dose or stop using bupropion suddenly, unless you have a seizure while taking this medicine. Stopping suddenly can cause unpleasant withdrawal symptoms.","signs of an allergic reaction to bupropion: (hives, itching, fever, swollen glands, difficult breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning eyes, skin pain, red or purple skin rash with blistering and peeling). Report any new or worsening symptoms to your doctor, such as: mood or behavior changes, anxiety,","Take the missed dose as soon as you remember. Skip the missed dose if it is almost time for your next scheduled dose. Do not take extra medicine to make up the missed dose."
106,BuSpar,"used to treat anxiety disorders or the symptoms of anxiety","BuSpar (buspirone) is an anti-anxiety medicine that affects chemicals in the brain that may be unbalanced in people with anxiety. BuSpar is used to treat anxiety disorders or the symptoms of anxiety, such as fear, tension, irritability, dizziness, pounding heartbeat, and other physical symptoms.","Do not use BuSpar if you have taken an MAO inhibitor in the past 14 days. A dangerous drug interaction could occur. MAO inhibitors include isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, and tranylcypromine.","You may take BuSpar with or without food but take it the same way each time. Some BuSpar tablets are scored so you can break the tablet into 2 or 3 pieces in order to take a smaller amount of the medicine at each dose. Do not use a tablet if it has not been broken correctly and the piece is too big or too small.","signs of an allergic reaction to BuSpar: hives; difficult breathing; swelling of your face, lips, tongue, or throat. chest pain, shortness of breath or light-headed feeling, like you might pass out.","Take the missed dose as soon as you remember. Skip the missed dose if it is almost time for your next scheduled dose. Do not take extra medicine to make up the missed dose."
107,Bydureon,"used together with diet and exercise to improve blood sugar control in people with type 2 diabetes mellitus. ","Bydureon (exenatide) is an extended release injectable diabetes medicine that helps control blood sugar levels. This medication helps your pancreas produce insulin more efficiently. Bydureon is used together with diet and exercise to improve blood sugar control in people with type 2 diabetes mellitus. Bydureon is for use in adults and children at least 10 years old. Bydureon is not for treating type 1 diabetes.","You should not use Bydureon if you have a personal or family history of thyroid cancer, if you have multiple endocrine neoplasia type 2 (MEN 2, a cancer that can affect the thyroid, parathyroid, and adrenal glands), or if you have ever had low platelets while using exenatide.","Bydureon is injected under the skin. Ask your doctor or pharmacist if you don't understand how to use an injection. Do not allow a young child to use this medicine without help from an adult. Prepare your injection only when you are ready to give it. You must give the injection right away after mixing. Bydureon is usually injected once every 7 days. ","signs of an allergic reaction to Bydureon: hives; difficulty breathing; swelling of your face, lips, tongue, or throat.Some people using exenatide have had serious or fatal bleeding caused by low levels of platelets. Stop using Bydureon and call your doctor right away if you have unusual bleeding or bruising.","signs of an allergic reaction to Bydureon: hives; difficulty breathing; swelling of your face, lips, tongue, or throat.Some people using exenatide have had serious or fatal bleeding caused by low levels of platelets."
108,Bystolic,"used to treat hypertension (high blood pressure). Lowering blood pressure may lower your risk of a stroke or heart attack","Bystolic (nebivolol) belongs to a group of drugs called beta-blockers. Beta-blockers affect the heart and circulation (blood flow through arteries and veins). Bystolic is used to treat hypertension (high blood pressure). Lowering blood pressure may lower your risk of a stroke or heart attack.","Do not skip doses or stop taking Bystolic without first talking to your doctor. Stopping suddenly may make your condition worse or cause other serious heart problems such as severe chest pain or heart attack. ","Take Bystolic at the same time every day. You may take the medication with or without food. Do not skip doses or stop taking Bystolic without first talking to your doctor. Stopping suddenly may make your condition worse or cause other serious heart problems such as severe chest pain or heart attack.","hives; difficult breathing; swelling of your face, lips, tongue, or throat. feeling short of breath, even with mild exertion,swelling of your ankles or feet, slow or uneven heartbeats, or numbness or cold feeling in your hands and feet.","Take the missed dose as soon as you remember. Skip the missed dose if it is almost time for your next scheduled dose. Do not take extra medicine to make up the missed dose."
109,Cabenuva,"use in adults who have already used other antiviral HIV medications that have controlled their viral load.","The Cabenuva injection kit contains cabotegravir and rilpivirine is separate single-dose vials. Cabotegravir and rilpivirine are antiviral medicines that prevent human immunodeficiency virus (HIV) from multiplying in your body. HIV is the virus that can cause acquired immunodeficiency syndrome (AIDS). Cabenuva is a prescription medicine that is used without any other antiviral medicines to treat HIV. Cabenuva is not a cure for HIV or AIDS.","Tell your doctor about all your current medicines and any you start or stop using. Many drugs can interact, and some drugs should not be used together.","On the last day you take the tablets, you will receive your first injectable dose of this medicine. Cabenuva is injected into a muscle once per month. A healthcare provider will give you this medicine as 2 separate injections in opposite sides of your buttocks. You will be watched closely for about 10 minutes after each injection, to make sure you do not have a serious reaction.","signs of an allergic reaction to Cabenuva: hives; fever, tiredness, body aches, not feeling well; sores or blisters in your mouth; red or puffy eyes; difficult breathing; swelling of your face, lips, tongue, or throat and skin rash, fever, swollen glands, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes.","If you plan to miss an injection by more than 7 days, you may need to take cabotegravir and rilpivirine tablets each day until your next monthly injection is due. You should start taking the tablets about 1 month after your last injection was given. "
110,Cabometyx,"used to treat advanced kidney cancer, liver cancer (hepatocellular carcinoma)","Cabometyx (cabozantinib) is a kinase inhibitor, a type of enzyme inhibitor that blocks the action of certain protein kinases.  Cabometyx is also used to treat a type of thyroid cancer called differentiated thyroid cancer (DTC) that has spread, and has progressed after treatment with a VEGFR-targeted treatment, and can no longer be treated with, or you are not able to receive radioactive iodine.","Cabometyx may cause a perforation (a hole or tear) or a fistula (an abnormal passageway) within your stomach or intestines. This medicine can also increase your risk of serious bleeding.","Take Cabometyx on an empty stomach, at least 1 hour before or 2 hours after you eat anything. Do not take Cabometyx with food. Take this medicine with a full glass of water. Do not crush, chew, or break a tablet, and do not open a capsule. Swallow the pill whole.","signs of an allergic reaction to Cabometyx: hives; difficult breathing; swelling of your face, lips, tongue, or throat. cabometyx may cause a perforation (a hole or tear) or a fistula (an abnormal passageway) within your stomach or intestines. Call your doctor if you have severe stomach pain, or if you feel like you are choking and gagging when you eat or drink.","Take the medicine as soon as you can, but skip the missed dose if your next dose is due in less than 12 hours. Do not use two doses at one time."
